orderid   custid    itemid  pieces  datetran  
82        64767451  49      4       12.08.2014
83        49537539  39      2       10.06.2014
84        12779385  55      9       07.03.2013
85        40069419  41      7       06.12.2013
86        44224621  42      10      29.09.2014
87        46999787  52      7       23.09.2014
88        49631501  51      9       15.06.2014
89        18642080  50      2       13.02.2014
90        62896407  19      9       25.04.2013
91        67315224  33      7       10.06.2014
92        00025534  52      10      24.03.2013
93        14862425  11      8       30.01.2013
94        66893771  20      2       09.12.2014
95        46957910  45      1       14.04.2013
96        65006968  24      10      16.06.2014
97        42124492  41      5       06.09.2014
98        70301263  13      7       12.04.2013
99        70327076  45      2       17.02.2013
100       69725691  10      1       23.05.2014
101       13076434  33      8       11.02.2014
102       11210338  47      8       02.06.2013
103       13143352  19      4       01.08.2013
104       14539888  12      2       17.03.2013
105       72235799  53      9       09.06.2013
106       48174009  26      4       20.03.2013
107       63225425  4       7       06.05.2014
108       12794180  51      6       22.11.2013
109       40478823  26      10      02.09.2014
110       47802685  8       9       08.11.2014
111       43725945  45      5       30.11.2014
112       68549407  26      2       11.11.2013
113       68811730  21      8       13.04.2014
114       42272653  13      6       11.08.2014
115       68071507  51      10      11.07.2013
116       64765661  54      4       02.06.2013
117       72817372  31      8       12.06.2014
118       15019772  34      5       17.05.2013
119       61493686  56      3       04.07.2014
120       42875412  11      5       15.02.2014
121       70400652  22      10      01.11.2014
122       67341802  27      1       18.11.2013
123       61493686  38      9       08.12.2013
124       12253448  57      3       05.05.2014
125       18298745  9       10      15.09.2013
126       44517360  23      10      30.10.2013
127       13212095  55      10      18.11.2013
128       16750292  2       5       21.06.2014
129       26273756  27      10      30.04.2013
130       40098478  54      9       20.08.2014
131       48360886  35      1       30.01.2014
132       62641697  19      3       04.11.2013
133       43096417  25      7       22.09.2014
134       13413449  3       1       15.09.2014
135       66423040  54      9       10.12.2013
136       63958023  30      7       02.06.2014
137       46822992  58      7       08.07.2013
138       72127694  13      8       20.07.2013
139       45627045  22      9       12.06.2013
140       15487938  39      1       01.08.2014
141       67918654  13      1       09.08.2013
142       25884824  1       6       29.03.2014
143       49470370  25      2       17.06.2013
144       40564398  3       1       11.04.2013
145       65234081  23      2       29.10.2014
146       18240607  29      3       15.08.2014
147       26415470  3       8       13.10.2014
148       63025086  51      4       25.10.2013
149       47911476  42      3       21.05.2014
150       60411317  15      10      11.10.2014
151       41713401  48      2       21.05.2014
152       65931963  38      4       23.03.2013
153       48348716  21      3       12.02.2014
154       41815084  2       7       23.10.2013
155       47574119  21      10      05.04.2013
156       42593883  37      5       27.06.2013
157       49017641  45      3       25.11.2013
158       65925343  1       1       30.10.2014
159       41832582  22      10      09.11.2013
160       47745916  51      9       20.05.2014
161       70868069  6       5       08.12.2013
162       49537539  35      2       23.11.2014
163       71046607  3       10      27.06.2014
164       63531739  12      3       22.08.2014
165       16527691  28      8       02.08.2013
166       72104279  6       4       11.05.2013
167       63990474  12      2       30.08.2014
168       10460551  50      1       01.04.2014
169       72671688  21      3       16.01.2013
170       49631501  32      10      12.12.2013
171       15777383  55      5       14.10.2014
172       15484921  59      4       01.01.2014
173       25860674  16      1       07.07.2013
174       62099604  9       6       29.01.2014
175       11191511  8       1       18.11.2013
176       45973784  2       8       12.08.2014
177       63590565  59      2       14.03.2014
178       46824596  39      2       26.01.2014
179       62409573  41      2       15.01.2013
180       48027367  33      10      13.08.2014
181       26273756  34      5       20.05.2013
182       62842226  13      2       05.05.2014
183       25732471  8       5       05.06.2013
184       65549031  55      6       13.01.2013
185       45242674  5       6       16.12.2014
186       45893322  30      2       27.05.2014
187       64312275  47      7       30.07.2014
188       43875386  19      3       12.04.2013
189       72118911  20      5       18.12.2014
190       44448058  49      10      08.07.2013
191       60720182  14      2       15.06.2013
192       70804818  5       3       05.03.2014
193       71613498  30      7       14.10.2013
194       11424052  10      5       12.03.2013
195       64333213  31      1       20.01.2013
196       18557791  41      5       25.11.2013
197       15097536  31      4       08.12.2014
198       70327912  56      10      25.12.2014
199       14794501  35      6       30.12.2013
200       42241839  45      9       16.09.2014
201       46822992  18      1       13.02.2014
202       60155141  31      10      21.01.2013
203       10433414  25      10      09.06.2013
204       00533882  33      8       17.10.2013
205       65334132  32      9       18.08.2014
206       40102971  18      3       04.03.2014
207       49436759  9       9       31.07.2014
208       44945370  19      2       05.10.2014
209       48027367  15      2       28.05.2014
210       41915259  17      7       24.05.2014
211       64312275  20      9       13.07.2013
212       64181979  14      9       14.10.2013
213       49814672  40      2       22.04.2014
214       49533622  57      7       14.10.2014
215       41834658  51      2       30.08.2014
216       25601474  54      3       09.04.2013
217       18564712  16      6       11.11.2014
218       64894916  8       9       29.12.2013
219       41051491  26      9       07.03.2013
220       40139972  41      9       03.11.2014
221       43915701  34      5       09.03.2014
222       49533622  28      1       24.08.2014
223       70298084  30      4       02.05.2014
224       13827456  29      3       03.07.2014
225       13511297  22      2       30.11.2014
226       43088791  44      7       20.01.2014
227       45627045  10      4       25.10.2013
228       47745916  23      1       28.06.2013
229       47313391  5       10      12.09.2014
230       69339856  50      6       02.10.2013
231       43776086  35      2       28.05.2013
232       10519670  41      10      20.09.2013
233       13863614  49      7       13.07.2013
234       46701541  53      6       08.08.2013
235       25176200  51      7       04.04.2013
236       67673554  20      4       16.07.2014
237       69846081  36      8       02.01.2014
238       67318967  55      5       19.11.2013
239       65623878  30      6       01.11.2014
240       49531689  5       1       25.05.2014
241       44915063  10      5       31.08.2014
242       47736372  8       2       26.11.2014
243       65402599  24      5       05.07.2014
244       68933089  8       3       28.05.2013
245       10611657  3       3       11.02.2014
246       65837380  49      5       01.08.2013
247       18622372  26      4       15.01.2013
248       68022948  4       6       17.01.2014
249       48886122  44      9       12.06.2013
250       70031096  15      10      14.07.2014
251       48616672  60      7       07.05.2014
252       42037662  22      8       30.06.2014
253       40098478  49      5       22.04.2014
254       15643514  45      8       28.11.2014
255       63636701  55      6       27.02.2013
256       64621651  46      9       25.05.2013
257       43165958  56      7       21.08.2013
258       10419292  5       6       29.12.2013
259       63775794  49      8       02.03.2014
260       19027036  44      7       25.09.2014
261       64767451  58      7       13.08.2014
262       15073076  3       8       28.11.2013
263       11233991  38      8       18.08.2013
264       41832582  18      3       08.02.2014
265       49017641  18      5       15.10.2013
266       47659271  7       3       06.07.2013
267       62058061  21      2       20.01.2014
268       22976612  12      6       08.03.2013
269       42241839  28      5       07.08.2014
270       66099064  29      7       14.01.2014
271       67416705  44      7       31.07.2013
272       64169103  20      2       07.03.2014
273       69584834  27      8       24.12.2013
274       13252682  56      8       06.10.2014
275       61156299  14      4       22.03.2014
276       43843662  5       7       11.01.2014
277       65966163  24      7       12.12.2014
278       63929091  48      7       04.10.2013
279       43314988  45      2       13.05.2013
280       63840863  40      5       27.11.2014
281       25661400  27      7       20.11.2014
282       45312281  21      7       08.07.2013
283       18128149  11      2       17.10.2013
284       48348716  30      6       26.08.2013
285       40885429  31      6       29.07.2014
286       63403323  12      4       06.04.2014
287       13922530  37      2       13.07.2014
288       67601235  5       8       05.09.2014
289       70221766  42      8       03.02.2014
290       12191485  57      6       10.10.2014
291       64828255  10      6       20.05.2013
292       63403323  13      7       27.03.2014
293       26273756  3       8       27.08.2014
294       44368801  55      8       10.02.2013
295       68001975  46      5       17.12.2014
296       72127694  35      1       23.06.2013
297       69643911  17      1       27.11.2014
298       15487938  33      8       19.05.2013
299       66658977  12      5       26.04.2013
300       62637550  21      3       27.09.2013
301       44945370  29      9       30.01.2013
302       10043772  50      8       01.07.2013
303       65646207  50      5       27.02.2014
304       60273071  49      10      16.02.2013
305       45659648  11      3       14.09.2014
306       45527083  48      10      01.09.2014
307       65850548  8       10      01.07.2013
308       65558910  36      2       26.08.2013
309       42272653  10      7       25.12.2013
310       13717529  19      10      09.06.2014
311       44074042  51      5       09.09.2014
312       47566361  7       6       01.08.2013
313       14735229  10      1       04.06.2013
314       41178203  56      10      26.05.2013
315       41256751  41      7       20.10.2014
316       41818067  57      1       15.08.2013
317       12248011  4       3       28.10.2013
318       15019772  21      2       28.03.2013
319       18502539  55      8       27.04.2014
320       11512857  9       5       13.05.2013
321       49533622  29      9       17.08.2013
322       40363660  11      7       18.10.2013
323       70062862  47      10      22.02.2014
324       16180208  54      10      19.12.2013
325       17025451  55      2       02.11.2014
326       15922626  11      2       06.01.2014
327       46822992  39      8       27.07.2014
328       62984748  25      9       12.02.2014
329       65006968  38      1       11.08.2013
330       66239010  55      3       05.03.2013
331       25773143  38      2       19.06.2014
332       12865320  50      1       04.05.2014
333       49631501  26      10      08.11.2013
334       40789829  48      10      01.09.2013
335       42795745  26      7       02.03.2013
336       12021938  40      8       23.06.2013
337       25884824  46      6       08.09.2013
338       26415470  9       2       08.06.2014
339       61186040  16      4       15.03.2013
340       43351816  5       8       11.07.2014
341       49470370  54      4       01.08.2013
342       67614311  52      3       03.06.2013
343       68927771  21      7       15.12.2013
344       69724628  37      2       30.03.2013
345       16571002  53      4       05.09.2013
346       42037662  53      10      13.02.2014
347       25086839  45      3       01.11.2014
348       41256751  11      10      24.10.2014
349       45685983  39      3       29.05.2014
350       49310569  45      5       03.07.2014
351       43122990  14      8       01.04.2013
352       72586761  59      9       08.07.2014
353       00466930  1       5       25.04.2014
354       69219010  40      4       13.04.2014
355       66048711  42      2       10.03.2013
356       64765661  4       4       04.02.2013
357       13857771  43      3       30.04.2013
358       62877101  50      6       14.10.2014
359       12477761  14      5       28.04.2013
360       62058061  3       4       24.07.2014
361       41818067  32      6       01.02.2014
362       45854939  16      6       02.03.2013
363       70108064  45      4       25.08.2013
364       44478771  29      2       12.03.2014
365       68811730  20      1       15.11.2014
366       13717529  31      9       07.04.2014
367       18269591  25      8       30.09.2013
368       67668569  44      6       13.07.2014
369       70601411  37      8       04.11.2013
370       63403323  35      4       25.04.2013
371       42339111  5       10      19.02.2014
372       47313391  20      2       23.05.2013
373       47651075  34      7       27.09.2014
374       70673667  1       2       02.04.2014
375       70221448  22      10      07.12.2014
376       68738731  21      3       25.08.2014
377       42037662  4       6       26.01.2013
378       25881761  12      4       15.04.2014
379       62877101  39      5       28.12.2013
380       46273662  36      1       11.09.2014
381       25881761  28      3       01.11.2014
382       13002317  39      5       11.10.2014
383       48804738  54      4       08.02.2014
384       65966163  38      3       04.11.2014
385       40189929  30      2       02.01.2013
386       46273662  48      8       13.12.2013
387       14594439  25      2       09.08.2013
388       66401488  25      8       26.09.2014
389       40548872  30      4       21.09.2014
390       25000306  4       8       07.02.2013
391       48804738  7       1       01.01.2014
392       64078248  54      5       16.11.2014
393       68364571  37      2       08.02.2014
394       64169103  58      2       08.09.2014
395       67506151  4       2       22.04.2014
396       62558439  37      8       18.07.2013
397       40671461  58      3       02.09.2014
398       13586416  25      1       03.11.2013
399       67421318  58      10      07.01.2014
400       70509948  57      5       23.06.2014
401       60316012  18      7       05.11.2014
402       69584834  38      9       21.07.2013
403       49732889  55      10      24.07.2014
404       67614311  40      6       23.02.2013
405       46275169  49      8       06.03.2013
406       12169463  37      7       10.03.2013
407       60316012  8       4       27.11.2014
408       15457664  48      4       09.08.2014
409       15055582  27      6       04.12.2014
410       63840863  21      8       01.06.2014
411       66750628  16      10      21.03.2014
412       26584034  43      7       30.07.2013
413       25881761  40      3       13.05.2013
414       63910403  19      6       08.11.2013
415       44859074  50      4       05.08.2013
416       46130110  52      8       10.05.2014
417       67416705  20      3       01.08.2014
418       64765661  59      7       06.04.2013
419       13186558  19      8       02.08.2014
420       70352186  14      6       22.02.2013
421       66423040  17      4       22.10.2014
422       65549031  17      7       26.04.2014
423       62677802  34      7       31.03.2014
424       62191528  46      5       12.04.2013
425       41711874  27      1       31.01.2014
426       40363660  35      3       10.12.2013
427       62672070  51      9       01.10.2013
428       00068365  30      7       26.01.2013
429       48966797  5       10      18.10.2014
430       44958781  36      6       18.03.2013
431       16631854  54      3       31.07.2014
432       13753878  21      6       12.03.2014
433       40548872  38      1       12.04.2014
434       72223464  50      7       31.03.2013
435       45461694  26      5       14.02.2013
436       61869325  35      7       06.05.2013
437       71086382  32      8       11.01.2013
438       70050503  33      9       10.04.2014
439       66757843  49      5       19.11.2014
440       67416705  37      6       07.02.2014
441       40647307  14      2       20.08.2013
442       62247808  59      8       11.02.2014
443       00068365  10      9       10.10.2014
444       70031096  2       10      06.04.2013
445       66239010  2       8       17.12.2013
446       63847612  49      7       07.07.2014
447       45100110  11      3       30.03.2014
448       10460551  49      9       02.10.2013
449       60632381  35      2       02.10.2014
450       62282948  60      9       24.01.2014
451       64197735  8       3       26.11.2013
452       44517360  40      9       07.12.2014
453       12248011  55      1       23.02.2013
454       25086839  42      5       01.05.2013
455       15487938  54      10      01.07.2014
456       42617847  6       3       31.05.2014
457       66390257  19      9       04.05.2014
458       43969020  40      9       25.11.2014
459       44427662  30      9       24.01.2014
460       42565251  44      5       25.01.2014
461       48348716  24      4       09.01.2013
462       69855790  15      2       14.05.2014
463       25176200  37      6       05.09.2014
464       64559238  49      6       08.03.2014
465       63548984  12      10      28.10.2013
466       18967353  42      8       23.07.2013
467       62282948  38      9       08.11.2013
468       46999787  52      7       06.01.2014
469       11029889  14      2       13.06.2014
470       40139972  27      7       21.10.2013
471       44950063  25      6       10.11.2014
472       67673554  9       2       10.05.2014
473       67318967  13      7       23.04.2014
474       15749681  4       5       24.01.2013
475       16114299  47      5       25.03.2014
476       63590565  49      10      22.10.2014
477       45659648  11      9       29.03.2014
478       14908786  38      7       04.08.2013
479       61869325  12      7       10.01.2014
480       63304651  2       4       29.05.2013
481       15240088  19      1       30.07.2013
482       70624933  5       4       18.05.2014
483       46130110  13      3       01.06.2014
484       60685646  17      5       17.12.2013
485       69008574  36      4       22.07.2014
486       41148690  14      3       04.10.2013
487       66480850  36      1       03.05.2014
488       69363137  50      4       11.10.2013
489       69553995  21      4       28.12.2013
490       66483115  56      7       09.06.2013
491       72843993  17      1       18.01.2013
492       13658727  3       2       17.01.2014
493       68939949  27      10      22.07.2013
494       43314988  34      2       14.05.2013
495       70804818  15      3       22.12.2014
496       42105048  32      5       30.11.2013
497       65579283  30      4       30.01.2013
498       44862512  59      5       30.09.2014
499       60430249  3       10      21.07.2013
500       64015513  55      9       09.02.2013
501       42741980  52      5       01.07.2013
502       49539191  54      10      04.12.2014
503       16989601  5       4       15.07.2013
504       16942361  7       10      02.05.2014
505       63403323  35      9       29.05.2014
506       46496041  58      8       15.03.2013
507       41711874  26      6       17.08.2014
508       60061227  46      7       15.05.2014
509       15190706  46      1       28.08.2013
510       45707502  13      8       20.11.2014
511       49243748  23      4       03.05.2013
512       41473167  26      2       11.02.2014
513       68022948  8       2       01.01.2013
514       42037662  44      5       29.07.2013
515       12191485  52      7       23.04.2013
516       15749681  51      4       07.05.2014
517       45930601  25      8       26.05.2013
518       62641697  41      8       31.08.2014
519       13519158  48      10      25.11.2013
520       45788839  11      8       28.12.2013
521       16155271  5       9       12.06.2014
522       45791571  41      8       16.07.2013
523       62189450  40      6       17.10.2013
524       46279008  55      8       23.12.2014
525       43700055  43      4       07.05.2013
526       41989732  22      4       01.06.2014
527       41778952  23      8       11.02.2013
528       43725945  3       7       21.10.2013
529       10521453  39      5       14.06.2014
530       18298745  37      3       22.06.2013
531       49436759  10      9       30.12.2014
532       66480850  4       3       16.12.2013
533       26130495  52      8       02.08.2014
534       65919301  38      8       28.03.2013
535       71632336  25      5       23.03.2014
536       40363660  4       2       29.03.2013
537       26480654  22      1       11.05.2014
538       12214157  25      1       27.11.2014
539       71046607  11      6       10.06.2014
540       11029889  10      7       12.04.2013
541       13060104  59      5       05.12.2014
542       25510057  30      4       18.11.2013
543       45445435  54      1       17.11.2014
544       18725627  42      9       20.01.2013
545       69008574  42      2       18.04.2013
546       66048711  53      3       19.10.2014
547       45678774  27      7       20.12.2014
548       70868069  12      2       26.08.2013
549       25000306  17      6       16.04.2014
550       18870066  19      8       02.01.2013
551       25248430  33      9       05.01.2013
552       63611279  29      2       10.07.2013
553       15190706  23      4       06.08.2014
554       13188569  5       8       16.11.2014
555       61913791  12      2       08.05.2013
556       67416705  41      5       29.08.2014
557       18240607  3       3       03.05.2013
558       63682824  50      9       20.06.2014
559       26415470  1       1       04.10.2013
560       16317645  41      5       10.06.2013
561       65646207  54      4       11.07.2014
562       48348716  12      6       18.05.2013
563       70670251  34      10      05.10.2013
564       14798620  19      3       02.01.2013
565       00527815  45      7       25.02.2013
566       61139629  56      7       19.11.2013
567       42875412  9       2       07.12.2014
568       47948507  59      1       06.12.2014
569       63958023  48      2       22.04.2013
570       63304651  11      8       09.10.2014
571       47574119  14      4       23.03.2014
572       60143622  17      6       21.02.2013
573       25757253  31      3       16.11.2014
574       64609928  46      5       07.02.2013
575       16053648  53      7       09.03.2013
576       70062862  46      8       22.05.2014
577       66750628  12      1       29.08.2014
578       46746503  18      10      15.07.2013
579       69200394  53      9       17.08.2013
580       15777383  6       9       01.08.2013
581       42107598  48      1       26.08.2013
582       12276456  29      2       24.04.2014
583       63766914  8       7       09.07.2013
584       62191528  15      6       22.06.2014
585       44862512  51      5       07.02.2013
586       48583405  21      1       06.09.2014
587       70301263  48      5       15.04.2013
588       12169463  7       9       13.10.2014
589       64396606  11      8       21.10.2014
590       13755749  10      6       26.01.2014
591       42124492  35      9       02.11.2014
592       60720182  59      6       23.10.2014
593       65966163  37      7       09.11.2014
594       40022641  8       2       09.07.2013
595       22976612  58      7       14.01.2014
596       47745916  28      5       26.12.2013
597       44910193  48      3       10.10.2014
598       45981728  59      2       24.09.2013
599       13753878  12      3       15.09.2013
600       46622314  57      8       05.02.2014
601       67601235  55      10      10.06.2013
602       41473167  26      3       24.09.2013
603       14862425  55      10      27.01.2013
604       49099868  19      3       03.02.2014
605       42760976  33      8       18.02.2014
606       49191144  36      9       27.03.2014
607       71046607  25      6       06.09.2013
608       13186558  53      9       29.01.2014
609       62093568  39      2       25.12.2014
610       18671250  6       7       26.04.2013
611       13611011  58      10      27.10.2013
612       14242344  51      9       12.11.2014
613       63403323  35      8       21.09.2013
614       40292266  46      8       30.07.2013
615       41390903  60      9       30.04.2014
616       18269591  53      5       04.05.2014
617       68645546  33      2       15.07.2013
618       69921172  56      6       03.11.2014
619       87654326  23      3       08.06.2013
620       25859358  58      10      03.11.2014
621       14737001  16      3       03.03.2014
622       41676513  19      5       10.06.2013
623       65948807  43      5       22.09.2013
624       64181979  24      9       18.06.2014
625       61910333  34      6       27.03.2014
626       60953586  20      9       30.03.2014
627       40102971  53      3       26.05.2013
628       47845473  51      1       10.12.2014
629       46683704  48      7       05.08.2013
630       68979291  35      6       10.03.2013
631       47736372  11      1       29.11.2013
632       49099299  49      1       19.04.2014
633       72104279  17      3       01.07.2013
634       12734446  35      1       18.01.2013
635       45242674  15      8       09.08.2013
636       45685983  40      2       11.05.2013
637       13456288  22      7       18.05.2014
638       42949114  40      2       26.06.2013
639       13266381  54      1       18.09.2014
640       65952090  36      9       02.01.2013
641       46822992  24      5       18.02.2014
642       69724628  48      10      18.07.2013
643       42795745  46      2       18.01.2013
644       61809039  41      2       10.03.2013
645       69243417  54      6       07.01.2013
646       61115495  58      2       31.03.2014
647       10164537  2       4       10.12.2013
648       70509948  20      1       18.07.2014
649       25000306  37      1       20.04.2014
650       65204212  20      3       02.02.2014
651       49537539  35      4       23.11.2014
652       64390993  22      10      19.09.2013
653       47090022  25      9       07.04.2013
654       69363137  55      3       09.01.2013
655       69212228  10      2       28.10.2013
656       42700337  34      1       06.06.2014
657       63847612  43      5       14.05.2014
658       63410354  1       6       24.08.2014
659       44943890  20      10      08.11.2013
660       46957910  28      9       16.12.2014
661       13471279  10      6       03.06.2013
662       16619072  57      5       17.09.2013
663       16758277  5       1       12.01.2014
664       12782467  56      2       23.08.2013
665       45981728  23      10      16.03.2014
666       16424701  46      3       13.01.2014
667       18652930  44      7       29.05.2013
668       18725627  28      4       07.06.2013
669       18564712  1       9       12.02.2013
670       64312275  58      1       30.07.2014
671       47948507  16      9       22.10.2013
672       60807261  54      4       01.03.2013
673       72810483  53      2       02.01.2014
674       44719817  33      1       09.05.2014
675       25352784  25      1       16.08.2013
676       14584981  26      6       21.10.2014
677       26273756  43      1       04.12.2014
678       62908332  38      2       24.04.2014
679       44457651  46      8       07.11.2013
680       44945370  16      3       16.07.2014
681       25884824  30      9       15.10.2014
682       65755448  39      1       05.05.2013
683       62486641  4       1       24.07.2014
684       42691494  47      1       14.04.2014
685       46999787  3       10      08.08.2014
686       42633842  8       8       28.05.2014
687       41680570  51      4       24.05.2013
688       60175982  17      10      30.05.2014
689       13619063  58      2       22.01.2013
690       67996603  3       2       13.03.2014
691       40949907  20      2       11.07.2013
692       60789549  11      7       26.05.2014
693       64396606  25      9       06.02.2014
694       65952090  43      1       03.12.2014
695       43725945  35      8       18.03.2014
696       46275797  29      6       06.04.2013
697       61869325  5       7       22.10.2013
698       62508539  51      1       23.03.2013
699       68979291  44      2       03.01.2014
700       18636322  4       1       14.08.2014
701       16571002  30      9       02.09.2013
702       66979641  7       9       18.09.2014
703       26016516  10      3       14.06.2014
704       45012814  35      9       03.05.2014
705       41178203  23      10      18.11.2014
706       44477937  4       1       28.04.2014
707       15665356  31      5       04.09.2014
708       61220540  40      5       29.03.2013
709       63468107  37      10      23.05.2013
710       14737001  53      4       31.08.2014
711       70865710  12      6       14.07.2014
712       66164311  32      5       18.06.2014
713       68927771  30      2       16.09.2014
714       72104279  34      5       16.04.2013
715       62486641  36      6       30.05.2013
716       48742619  34      4       14.04.2014
717       62798545  21      8       21.04.2013
718       66048711  26      2       24.12.2013
719       72104279  35      4       20.08.2014
720       45100110  22      4       01.04.2013
721       65623878  8       10      12.05.2013
722       62641697  58      1       21.07.2013
723       15643514  22      6       16.09.2013
724       49631501  12      9       13.02.2013
725       44658419  29      1       27.07.2013
726       68729804  31      5       20.09.2013
727       64805140  1       5       12.08.2013
728       64015513  33      4       16.06.2014
729       13076434  43      6       27.10.2014
730       49188909  34      5       13.07.2014
731       63117631  14      8       12.02.2013
732       25086839  18      5       30.08.2013
733       40973433  14      7       25.04.2014
734       26425939  26      10      01.03.2013
735       26045176  1       5       30.12.2014
736       68973152  13      2       03.11.2014
737       13060104  34      9       07.11.2013
738       62766449  3       2       03.04.2014
739       42105048  33      6       12.04.2014
740       68664826  54      1       07.10.2014
741       60880423  37      2       09.09.2013
742       43718558  15      8       28.12.2013
743       42241839  59      5       20.09.2013
744       45541108  41      1       28.10.2014
745       42204909  19      3       19.09.2014
746       43776086  21      3       06.08.2013
747       16903901  24      4       01.06.2014
748       70729786  21      1       20.03.2014
749       62282948  24      10      15.09.2014
750       13175874  11      1       21.11.2013
751       47574119  10      5       30.01.2013
752       18671250  16      6       21.12.2014
753       66390257  1       1       16.09.2014
754       18622372  13      5       08.12.2014
755       68469519  60      10      20.10.2014
756       46892761  28      1       27.09.2014
757       66119855  43      4       29.10.2014
758       40973433  57      4       17.04.2013
759       40069419  55      4       10.02.2013
760       18298745  8       1       18.08.2013
761       66239010  53      1       06.09.2014
762       63025086  26      2       19.10.2013
763       26480654  30      7       24.04.2013
764       26584034  55      5       25.06.2013
765       65050614  25      2       20.08.2013
766       44633904  39      4       12.06.2014
767       44210973  60      2       19.05.2014
768       60807261  1       8       29.12.2013
769       67321917  6       9       02.07.2014
770       62247808  44      5       07.07.2014
771       65225237  50      3       11.04.2014
772       18725627  35      6       15.10.2013
773       60122102  57      10      25.01.2014
774       64696570  29      5       25.05.2014
775       10460551  15      5       08.07.2013
776       69778841  34      6       28.06.2013
777       47802707  10      3       21.06.2013
778       47927551  52      5       06.05.2014
779       16631854  53      5       18.02.2014
780       46824596  17      9       19.07.2014
781       44958781  55      7       29.06.2013
782       43718558  57      5       09.11.2013
783       25422804  55      5       11.07.2013
784       45659648  16      1       03.10.2013
785       41585208  37      7       16.03.2014
786       40022641  57      1       23.01.2013
787       49451316  32      2       16.05.2014
788       63417413  13      6       05.08.2014
789       16619072  58      5       28.06.2013
790       43575857  27      8       27.05.2013
791       66572843  36      7       19.04.2013
792       69069310  37      7       17.03.2014
793       69584834  15      2       02.03.2014
794       66483603  8       7       30.06.2013
795       40255085  36      6       04.09.2014
796       66893771  12      3       06.10.2014
797       72358289  21      5       15.12.2014
798       49167570  3       5       31.12.2013
799       40949907  32      9       02.04.2013
800       68202130  50      10      14.09.2013
801       41778952  59      10      10.11.2013
802       64573699  16      6       24.04.2013
803       41680570  58      9       16.09.2014
804       70673667  21      7       24.06.2014
805       12214157  24      5       02.02.2014
806       68283962  45      2       27.08.2014
807       40202381  42      7       05.11.2013
808       16527691  24      2       02.02.2014
809       45445435  20      7       29.04.2014
810       70576521  2       7       04.03.2014
811       48966797  6       7       25.12.2014
812       43371183  43      1       18.08.2013
813       18240607  38      9       27.02.2014
814       65607589  39      2       22.01.2014
815       60457431  23      3       09.06.2013
816       60657405  38      4       09.04.2014
817       66239010  12      6       25.09.2013
818       62251007  54      4       18.02.2014
819       14592274  5       5       26.08.2014
820       63433613  16      2       17.12.2014
821       60657405  35      9       17.08.2014
